% of U.S. Adults who are home broadband users by Income,,,,
Date,"Less than $30,000","$30,000-$49,999","$50,000-$74,999","$75,000+"
3/31/2000,0%,0%,1%,2%
9/10/2001,2%,4%,8%,20%
9/19/2001,3%,8%,10%,16%
10/1/2001,2%,5%,8%,14%
10/7/2001,3%,4%,,
10/18/2001,4%,5%,10%,19%
11/18/2001,4%,7%,11%,18%
12/23/2001,4%,7%,10%,23%
1/31/2002,4%,6%,11%,22%
5/19/2002,5%,8%,13%,25%
7/26/2002,4%,10%,14%,23%
10/6/2002,6%,11%,26%,32%
10/27/2002,7%,10%,12%,26%
11/24/2002,7%,13%,16%,34%
12/22/2002,5%,12%,16%,27%
3/24/2003,7%,11%,22%,32%
3/25/2003,7%,11%,22%,33%
5/20/2003,7%,14%,25%,30%
6/24/2003,7%,14%,21%,37%
8/3/2003,8%,14%,22%,38%
12/14/2003,9%,16%,25%,42%
3/1/2004,10%,23%,36%,46%
3/17/2004,13%,25%,27%,49%
6/17/2004,12%,18%,31%,48%
7/3/2004,12%,19%,35%,48%
11/22/2004,13%,25%,34%,54%
11/30/2004,12%,24%,37%,50%
2/9/2005,15%,27%,32%,58%
3/21/2005,15%,27%,38%,56%
6/7/2005,18%,29%,44%,63%
12/8/2005,21%,30%,46%,64%
12/31/2005,17%,30%,52%,63%
2/6/2006,22%,32%,51%,67%
3/28/2006,29%,40%,52%,69%
4/6/2006,22%,44%,49%,68%
8/31/2006,22%,39%,56%,74%
12/4/2006,26%,44%,50%,77%
12/30/2006,24%,46%,61%,73%
12/2/2007,40%,52%,69%,78%
1/13/2008,28%,51%,61%,77%
5/11/2008,31%,53%,67%,82%
8/10/2008,38%,59%,68%,79%
8/31/2008,36%,53%,71%,83%
12/4/2008,31%,61%,73%,85%
12/20/2008,33%,57%,69%,83%
4/19/2009,39%,61%,79%,85%
6/21/2009,45%,53%,83%,87%
9/14/2009,42%,66%,82%,88%
12/27/2009,41%,62%,78%,83%
1/19/2010,45%,61%,74%,87%
5/30/2010,42%,65%,79%,87%
9/13/2010,40%,64%,80%,88%
11/24/2010,42%,66%,75%,89%
12/21/2010,41%,65%,81%,88%
5/22/2011,40%,70%,79%,88%
8/26/2011,41%,65%,81%,89%
1/8/2012,47%,67%,81%,88%
2/19/2012,45%,64%,82%,91%
4/3/2012,46%,68%,85%,87%
11/10/2012,47%,71%,83%,90%
12/9/2012,46%,69%,79%,89%
5/19/2013,54%,70%,84%,88%
9/30/2013,52%,71%,85%,91%
4/12/2015,44%,72%,83%,90%
7/12/2015,47%,64%,78%,89%
11/15/2015,45%,68%,81%,88%
4/4/2016,49%,73%,80%,91%
11/6/2016,53%,71%,83%,93%
1/10/2018,45%,67%,79%,87%
2/7/2019,56%,72%,87%,92%
